i,data.theta_m1,data.theta_l1,data.delta_theta_r1,data.Trr_ad,data.theta_m2,data.theta_l2,data.delta_theta_r2,data.Trr_cf
341,24.92156219482422,11.59197998046875,13.329582214355469,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
342,24.92578125,11.59197998046875,13.33380126953125,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
343,24.9637508392334,11.62799072265625,13.335760116577148,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
344,24.9637508392334,11.62799072265625,13.335760116577148,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
345,25.06218719482422,11.62799072265625,13.434196472167969,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
346,25.080469131469727,11.66400146484375,13.416467666625977,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
347,25.10578155517578,11.66400146484375,13.441780090332031,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
348,25.153593063354492,11.66400146484375,13.489591598510742,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
349,25.159217834472656,11.70001220703125,13.459205627441406,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
350,25.2042179107666,11.70001220703125,13.504205703735352,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
351,25.19156265258789,11.73602294921875,13.45553970336914,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
352,25.192968368530273,11.73602294921875,13.456945419311523,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
353,25.159217834472656,11.73602294921875,13.423194885253906,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
354,25.118436813354492,11.73602294921875,13.382413864135742,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
355,25.088905334472656,11.73602294921875,13.352882385253906,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
356,25.043907165527344,11.73602294921875,13.307884216308594,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
357,25.02703094482422,11.73602294921875,13.291007995605469,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
358,24.975000381469727,11.73602294921875,13.238977432250977,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
359,24.935625076293945,11.73602294921875,13.199602127075195,0.3059999942779541,-0.002812500111758709,0.0,-0.002812500111758709,0.0
360,-4.120312690734863,11.73602294921875,-15.856335639953613,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
361,24.8526554107666,11.73602294921875,13.116632461547852,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
362,24.83578109741211,11.73602294921875,13.09975814819336,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
363,24.837186813354492,11.73602294921875,13.101163864135742,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
364,24.793594360351562,11.73602294921875,13.057571411132812,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
365,24.7823429107666,11.73602294921875,13.046319961547852,0.30299997329711914,-0.002812500111758709,0.0,-0.002812500111758709,0.0
366,24.742969512939453,11.73602294921875,13.006946563720703,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
367,24.74578094482422,11.73602294921875,13.009757995605469,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
368,24.751405715942383,11.73602294921875,13.015382766723633,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
369,24.75421905517578,11.73602294921875,13.018196105957031,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
370,24.758438110351562,11.73602294921875,13.022415161132812,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
371,24.758438110351562,11.73602294921875,13.022415161132812,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
372,24.76546859741211,11.73602294921875,13.02944564819336,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
373,24.773906707763672,11.73602294921875,13.037883758544922,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
374,24.773906707763672,11.73602294921875,13.037883758544922,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
375,24.78093719482422,11.73602294921875,13.044914245605469,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
376,24.7823429107666,11.73602294921875,13.046319961547852,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
377,24.78515625,11.73602294921875,13.04913330078125,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
378,24.78515625,11.73602294921875,13.04913330078125,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
379,24.795000076293945,11.73602294921875,13.058977127075195,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
380,24.797813415527344,11.73602294921875,13.061790466308594,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
381,24.803438186645508,11.73602294921875,13.067415237426758,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
382,24.80484390258789,11.73602294921875,13.06882095336914,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
383,24.837186813354492,11.73602294921875,13.101163864135742,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
384,24.834375381469727,11.73602294921875,13.098352432250977,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
385,24.83578109741211,11.73602294921875,13.09975814819336,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
386,24.862499237060547,11.73602294921875,13.126476287841797,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
387,24.913124084472656,11.73602294921875,13.177101135253906,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
388,24.934219360351562,11.73602294921875,13.198196411132812,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
389,24.935625076293945,11.73602294921875,13.199602127075195,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
390,24.986249923706055,11.73602294921875,13.250226974487305,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
391,25.014375686645508,11.73602294921875,13.278352737426758,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
392,25.038280487060547,11.77197265625,13.266307830810547,0.296999990940094,-0.002812500111758709,0.0,-0.002812500111758709,0.0
393,25.11703109741211,11.77197265625,13.34505844116211,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
394,25.1015625,11.77197265625,13.32958984375,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
395,25.1015625,11.77197265625,13.32958984375,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
396,25.1043758392334,11.77197265625,13.332403182983398,0.29999998211860657,-0.002812500111758709,0.0,-0.002812500111758709,0.0
